pharmacie_id,osm_id,name,address,postcode,lat,lon,type_garde,is_garde,open_time,close_time
129,node/8838784762,Pharmacie Marjane Tanger صيدلية مرجان طنجة,Avenue des Forces Armées Royales شارع الجيش الملكي,90000.0,35.7464496,-5.8440326,garde_nuit,1,20:00,08:30
130,node/8839214794,Pharmacie Chorafa صيدلية الشرفاء,Boulevard Moulay Rachid شارع مولاي رشيد,90000.0,35.7475556,-5.8589924,normal,0,08:30,20:00
131,node/8839260234,Pharmacie Tanja Al Koubra صيدلية طنجة الكبرى,Boulevard Moulay Rachid شارع مولاي رشيد,90000.0,35.7525128,-5.8522603,garde_nuit,1,20:00,08:30
132,node/8839316729,Pharmacie San Francisco صيدلية سان فرانسيسكو,Avenue Habib Bourguiba,90000.0,35.7807498,-5.8240771,normal,0,08:30,20:00
133,node/8839346756,Pharmacie Aïn Hayani صيدلية عين الحياني,Rue Imam Kastalani,90000.0,35.7828892,-5.8282247,garde_24h,1,00:00,23:59
134,node/8839372759,Pharmacie Imam Mouslim صيدلية إمام مسلم,87 Rue Imam Mouslim زنقة الإمام مسلم,90005.0,35.7854093,-5.8293717,normal,0,08:30,20:00
135,node/8839416124,Pharmacie Arrazi صيدلية الرازي,Boulevard Moulay Rachid شارع مولاي رشيد,90000.0,35.7637104,-5.8378925,normal,0,08:30,20:00
136,node/8839436512,Pharmacie Annajat صيدلية النجاة,114 Boulevard Moulay Rachid شارع مولاي رشيد,90000.0,35.7699613,-5.831943,normal,0,08:30,20:00
137,node/8840219414,Pharmacie Tarik El Moujahidin صيدلية طريق المجاهدين,Rue Al-Moujahidine المجاهدين,90000.0,35.7699893,-5.8437546,normal,0,08:30,20:00
138,node/8840252271,Pharmacie Al Ihssane صيدلية الإحسان,Rue Boutrika,90000.0,35.7577533,-5.8527663,normal,0,08:30,20:00
139,node/8843257271,Pharmacie Bouarraquia صيدلية بوعراقية,34 Avenue Hassan II شارع الحسن الثاني,90000.0,35.7825789,-5.8179886,normal,0,08:30,20:00
140,node/8843343490,Pharmacie Khosafat صيدلية خوصافات,53 Avenue Hassan I,90000.0,35.7857958,-5.8161579,garde_24h,1,00:00,23:59
141,node/8843349956,Pharmacie Ibn Sina صيدلية ابن سينا,124 Avenue Hassan II شارع الحسن الثاني,90000.0,35.7866173,-5.820818,normal,0,08:30,20:00
142,node/8843359217,Pharmacie Brooks صيدلية بروكس,28 Rue de Grenade زنقة غرناطة,90000.0,35.7839198,-5.8214788,garde_24h,1,00:00,23:59
143,node/8846093197,Pharmacie Tingis صيدلية طنجيس,Rue Imam Mouslim زنقة الإمام مسلم,90000.0,35.7855828,-5.8255958,garde_nuit,1,20:00,08:30
144,node/8846104977,Pharmacie Dina صيدلية دينا,Rue Imam Mouslim زنقة الإمام مسلم,90000.0,35.7860886,-5.833369,normal,0,08:30,20:00
145,node/8846498250,Pharmacie Masjid Marchan صيدلية مسجد مرشان,81 Avenue des U.S.A,90000.0,35.7899845,-5.8267794,normal,0,08:30,20:00
146,node/8851370927,Pharmacie Banafsaj صيدلية البنفسج,Rue Banafsaj,90000.0,35.7875254,-5.8352893,normal,0,08:30,20:00
147,node/8851405395,Pharmacie Al Boughaz صيدلية البوغاز,78 Rue du Mexique,90000.0,35.7799508,-5.81575,normal,0,08:30,20:00
148,node/8852944506,Pharmacie Bismillah صيدلية بسم الله,12 Avenue Idriss Premier,90000.0,35.7717161,-5.7993335,normal,0,08:30,20:00
149,node/8853004512,Pharmacie California صيدلية كليفورنيا,Rue Banafsaj,90000.0,35.7816672,-5.8423394,normal,0,08:30,20:00
150,node/8853283505,Pharmacie El Houda صيدلية الهدى,Rue Hassan Dakhil,90000.0,35.7711507,-5.8232056,normal,0,08:30,20:00
151,node/8853593540,Pharmacie Tarik Ben Ziad صيدلية طارق بن زياد,51 Boulevard Mohamed V شارع محمد الخامس,90013.0,35.7772935,-5.8049326,garde_nuit,1,20:00,08:30
152,node/8853624201,Pharmacie Imam Nafie صيدلية الإمام نافع,Rue 12 زنقة,90000.0,35.7489299,-5.8055346,normal,0,08:30,20:00
153,node/8857053792,Pharmacie les Palmiers صيدلية النخيل,7 Rue Antaki,90000.0,35.780345,-5.8055711,normal,0,08:30,20:00
154,node/8857451363,Pharmacie Lalla Chafia صيدلية لالة شافية,Rue Goutbourg,90010.0,35.7714855,-5.8172455,normal,0,08:30,20:00
155,node/8857467009,Pharmacie Mabrouki صيدلية مبروكي,Avenue Moulay Ali Cherif,90000.0,35.7538772,-5.813321,normal,0,08:30,20:00
156,node/12670396463,صيدلية أريماس,Tanja Balia,,35.7643529,-5.7599345,normal,0,08:30,20:00
157,node/12728400894,صيدلية بوتور,Tanja Balia,,35.7636627,-5.7697656,normal,0,08:30,20:00
158,node/13424662712,صيدلية أنفاس,"hôtel ibis, Route malabata. El Afif Tower",,35.7730348,-5.7813702,normal,0,08:30,20:00
