code,nom,dci,forme,dosage
6118000032076,VITA C 1000,ACIDE ASCORBIQUE (VITAMINE C),COMPRIME EFFERVESCENT,1 G
6118000010494,DUPHALAC,LACTULOSE,SOLUTION BUVABLE,66.5 %
6118001070169,CIALIS,TADALAFIL,COMPRIME PELLICULE,20 MG
6118000190417,EPHEDRYL,PARACETAMOL / TRIPROLIDINE,SOLUTION BUVABLE,2.5 / 25 G / MG
6118001180943,ECLARAN,PEROXYDE DE BENZOYLE,GEL,5 %
6118010020063,COQUELUSEDAL NOURRISSON,NIAOULI / GRINDELIA / GELSEMIUM,SUPPOSITOIRE,10/10/5 MG / MG / MG
6118001184057,NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE,NICOTINE,PASTILLE A SUCER,1.5 MG
6118010120664,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,GRANULE LP,100 MG
6118001200696,CYTARABINE EBEWE,CYTARABINE,SOLUTION POUR PERFUSION,100 MG
6118001070824,FLEET PHOSPHO-SODA,HYDROGENOPHOSPHATE DE SODIUM DODECAHYDRATE / DIHYDROGENOPHOSPHATE DE SODIUM HYDRATE,SOLUTION BUVABLE,10.8 / 24.4 G / G
6118000190707,NEOMOX,AMOXICILLINE,POUDRE POUR SUSPENSION BUVABLE,250 MG
6118001050017,ANEXATE 0.5 MG / 5 ML,FLUMAZENIL,SOLUTION INJECTABLE,0.5 MG
6118001200306,RECOFOL,PROPOFOL,EMULSION INJECTABLE,10 MG
6118001070602,TOBRADEX,TOBRAMYCINE / DEXAMETHASONE,POMMADE OPHTALMIQUE,3 / 1 MG / MG
6118000090199,BAITANET G,POLYVIDONE IODEE,SOLUTION GYNECOLOGIQUE,10 %
6118000050568,CARDIX,CARVEDILOL,COMPRIME SECABLE,6.25 MG
6118001183654,CLARELUX 500 µG,PROPIONATE DE CLOBETASOL,MOUSSE,500 µG
6118000040125,BISOLVON,BROMHEXINE,SOLUTION BUVABLE,0.2 %
6118000220015,ANAFRANIL,CLOMIPRAMINE,COMPRIME ENROBE,25 MG
6118001170067,AROMASINE,EXEMESTANE,COMPRIME ENROBE,25 MG
6118000150107,CLARADOL PLUS,PARACETAMOL / PROPYPHENAZONE,COMPRIME,250 / 150 MG / MG
6118010121593,VANTEC,CETIRIZINE,COMPRIME ENROBE SECABLE,10 MG
6118001010127,CEFOTRIM,CEFTRIAXONE,POUDRE POUR SOLUTION INJECTABLE,500 MG
6118000230038,ACIVIR,ACICLOVIR,CREME,0.1 G
6118000170389,MADECASSOL,CENTELLA ASIATICA,POMMADE,1 %
6118000061311,MITOSYL IRRITATIONS,FOIE DE POISSON / ZINC,POMMADE,13 / 17.55 G / G
6118001150526,PANOXYL,PEROXYDE DE BENZOYLE,GEL,5 %
6118001181735,MICROVAL,LEVONORGESTREL,COMPRIME ENROBE,0.03 MG
6118001140824,LAMICTAL,LAMOTRIGINE,COMPRIME DISPERSIBLE,5 MG
6118001121229,GYNERGENE CAFEINE,ERGOTAMINE / CAFEINE,COMPRIME,1 / 100 MG / MG
6118000241119,"ADRENALINE 0,50 MG",EPINEPHRINE,SOLUTION INJECTABLE,0.5 MG
6118000040712,SPASMOPRIV,MEBEVERINE,COMPRIME SECABLE,200 MG
6118000100256,COVERSYL,PERINDOPRIL,COMPRIME SECABLE,4 MG
6118001182558,ZOMIG,ZOLMITRIPTAN,COMPRIME PELLICULE,2.5 MG
6118001080380,GENHEVAC B,VACCIN ANTI-HEPATITE B,POUDRE POUR SUSPENSION INJECTABLE,nan nan
6118010116766,DIMAZOL,CARBIMAZOLE,COMPRIME,10 MG
6118001030651,LUMIGAN 0.3MG/ML,BIMATOPROST,COLLYRE,0.3 MG
6118001120925,MOSCONTIN,MORPHINE,COMPRIME LP,60 MG
6118000160823,PENAMOX,AMOXICILLINE,GELULE,500 MG
6118000030270,GENTOSYL,GENTAMICINE,SOLUTION INJECTABLE,40 MG
6118000013099,CIPROFLOXACINE WIN 250 MG,CIPROFLOXACINE,COMPRIME PELLICULE,250 MG
6118001270699,PAROXETINE GT 20 MG,PAROXETINE,COMPRIME PELLICULE,20 MG
6118010024870,PARAPSYLLIUM,TEGUMENT MUCILAGINEUX DE GRAINE DE PSYLIUM / PARAFFINE LIQUIDE,POUDRE POUR SUSPENSION BUVABLE,33.33 / 33.33 G / G
6118000250685,ZOLOFT,SERTRALINE,GELULE,50 MG
6118001220090,SEROHALE 50 µG,SALMETEROL / FLUTICASONE,SUSPENSION POUR INHALATION BUCCALE,25 / 50 µG / µG
6118001030422,ZOMETA,ACIDE ZOLEDRONIQUE,SOLUTION A DILUER POUR PERFUSION,4 MG
6118000190202,BUTAMYL,SALBUTAMOL,SUPPOSITOIRE,1 MG
6118000190028,ANTISTAPH / PENISTAPH,FLUCLOXACILLINE,GELULE,500 MG
6118010035340,TOTAPEN,AMPICILLINE,POUDRE POUR SOLUTION INJECTABLE,1 G
6118001250844,BRONCOTEC,FORMOTEROL,GELULE INHALEE,12 µG
6118001270194,CEBESINE,OXYBUPROCAINE,COLLYRE,0.4 %
6118001250592,CHEMOSET,ONDANSETRON,COMPRIME PELLICULE,8 MG
6118001141494,ZOFRAN,ONDANSETRON,SOLUTION INJECTABLE,8 MG
6118000190950,METROZAL,METRONIDAZOLE,OVULE,500 MG
6118000041467,TRE-ZEN 20 MG,PAROXETINE,COMPRIME SECABLE,20 MG
6118001200382,ULTRAVIST,IOPROMIDE,SOLUTION INJECTABLE,370 MG
6118010033049,OESTRODOSE,ESTRADIOL,GEL,0.06 %
6118010116094,SPIRIVA,TIOTROPIUM,GELULE INHALEE,18 µG
6118001121052,VITRIMIX KV *,MULTIPLE,PREPARATION INJECTABLE POUR PERFUSION,nan nan
6118000071150,NOCOL,SIMVASTATINE,COMPRIME PELLICULE,40 MG
6118000140986,DISPAMOX 250 MG,AMOXICILLINE,POUDRE POUR SUSPENSION BUVABLE,250 MG
6118001150151,INTRONA,INTERFERON ALFA-2B,SOLUTION INJECTABLE,18 MUI
6118000070108,AZITHRIX,AZITHROMYCINE,POUDRE POUR SUSPENSION BUVABLE,200 MG
6118000040941,AZIX,AZITHROMYCINE,COMPRIME PELLICULE,500 MG
6118010000966,SYNNAX,LAMOTRIGINE,COMPRIME DISPERSIBLE,5 MG
6118000012436,NOZINAN,LEVOMEPROMAZINE,COMPRIME PELLICULE SECABLE,25 MG
6118010116193,STILNOX CR,ZOLPIDEM,COMPRIME PELLICULE SECABLE,12.5 MG
6118000140849,RAZON 40 MG,PANTOPRAZOLE,COMPRIME ENROBE GASTRO-RESISTANT,40 MG
6118001100996,ORGALUTRAN,GANIRELIX,SOLUTION INJECTABLE,0.25 MG
6118001120482,XALATAN,LATANOPROST,COLLYRE,0.005 %
6118010115851,CEFTAJECT I.M 500 MG/2ML,CEFTRIAXONE,POUDRE POUR SOLUTION INJECTABLE,500 MG
6118010000225,GLIDIABET,GLIBENCLAMIDE,COMPRIME SECABLE,5 MG
6118010001918,OSCILLOCCINUM,SOUCHE HOMEOPATHIQUE,GLOBULE,nan nan
6118000120193,THIAZILIX,INDAPAMIDE,COMPRIME PELLICULE,2.5 MG
6118000040934,BISPIRAZOLE,SPIRAMYCINE / METRONIDAZOLE,COMPRIME ENROBE,1.5 / 250 MUI / MG
6118001140725,LACIPIL,LACIDIPINE,COMPRIME ENROBE,2 MG
6118001141012,RETROVIR,ZIDOVUDINE,SOLUTION BUVABLE,50 MG
6118001150458,OKA-ETOPOSIDE,ETOPOSIDE,SOLUTION A DILUER POUR PERFUSION,100 MG
6118000080787,ORADEXON,DEXAMETHASONE,COMPRIME SECABLE,0.5 MG
6118000032694,NEOFORTAN 40MG,PHLOROGLUCINOL,COMPRIME EFFERVESCENT,40 MG
6118001230037,DIALYSE PERITONEALE BIEFFE FORMULE 55,CONCENTRE POUR DIALYSE PERITONEALE,SOLUTION POUR DIALYSE PERITONEALE,nan nan
6118010000218,UN-ALFA 1 µG,ALFACALCIDOL,CAPSULE,1 µG
6118001110469,IMIZINE 10%,METRONIDAZOLE,PATE DENTAIRE,10 %
6118001160297,TRUSOPT,DORZOLAMIDE,COLLYRE,2 %
6118001182534,ZOLADEX 10.8 MG,GOSERELINE,IMPLANT INJECTABLE,10.8 MG
6118000160991,ZANTAC,RANITIDINE,COMPRIME EFFERVESCENT,75 MG
6118001150663,QUIETUDE,SOUCHE HOMEOPATHIQUE,SIROP,nan nan
6118001181834,NICOPATCH,NICOTINE,DISPOSITIF TRANSDERMIQUE,14 MG
6118001220168,HIBOR 10000 UI ANTI XA,BEMIPARINE,SOLUTION INJECTABLE,10000 UI
6118000240624,PANFUREX,NIFUROXAZIDE,SUSPENSION BUVABLE,4 %
6118001020164,CEFTRIAXONE MYLAN IV 500 MG/5 ML,CEFTRIAXONE,POUDRE POUR SOLUTION INJECTABLE,500 MG
6118010000775,CARDINOR,CARVEDILOL,COMPRIME,6.25 MG
